year,area,gender,value,mortality
1990,Всего по республике,both,24345,362
1991,Всего по республике,both,22213,387
1992,Всего по республике,both,20074,394
1993,Всего по республике,both,17126,342
1994,Всего по республике,both,16874,327
1995,Всего по республике,both,15484,289
1996,Всего по республике,both,14877,228
1997,Всего по республике,both,15368,229
1998,Всего по республике,both,16130,266
1999,Всего по республике,both,15793,261
2000,Всего по республике,both,16256,223
2001,Всего по республике,both,16636,231
2002,Всего по республике,both,17746,250
2003,Всего по республике,both,17982,236
2004,Всего по республике,both,18238,221
2005,Всего по республике,both,17190,201
2006,Всего по республике,both,17480,189
2007,Всего по республике,both,19667,154
2008,Всего по республике,both,20421,177
2009,Всего по республике,both,21109,161
2010,Всего по республике,both,21684,143
2011,Всего по республике,both,21905,126
2012,Всего по республике,both,23225,195
2013,Всего по республике,both,22138,178
2014,Всего по республике,both,22060,182
2015,Всего по республике,both,22145,124
