year,area,age,gender,value
2012,Всего по республике,0,male,11207
2012,Городские поселения,0,male,7023
2012,Сельская местность,0,male,4184
2012,г.Ижевск,0,male,4230
2012,Индустриальный район,0,male,751
2012,Ленинский район,0,male,890
2012,Октябрьский район,0,male,828
2012,Первомайский район,0,male,879
2012,Устиновский район,0,male,882
2012,г.Воткинск,0,male,686
2012,г.Глазов,0,male,530
2012,г.Можга,0,male,351
2012,г.Сарапул,0,male,649
2012,Алнашский,0,male,192
2012,Балезинский,0,male,277
2012,пгт Балезино,0,male,122
2012,сельская местность,0,male,155
2012,Вавожский,0,male,141
2012,Воткинский,0,male,208
2012,пгт Новый,0,male,35
2012,сельская местность,0,male,173
2012,Глазовский,0,male,169
2012,Граховский,0,male,68
2012,Дебёсский,0,male,134
2012,Завьяловский,0,male,514
2012,Игринский,0,male,340
2012,пгт Игра,0,male,183
2012,сельская местность,0,male,157
2012,Камбарский,0,male,122
2012,г.Камбарка,0,male,68
2012,сельская местность,0,male,54
2012,Каракулинский,0,male,105
2012,Кезский,0,male,217
2012,Кизнерский,0,male,173
2012,Киясовский,0,male,118
2012,Красногорский,0,male,86
2012,Малопургинский,0,male,282
2012,Можгинский,0,male,243
2012,Сарапульский,0,male,226
2012,Селтинский,0,male,121
2012,Сюмсинский,0,male,111
2012,Увинский,0,male,356
2012,пгт Ува,0,male,169
2012,сельская местность,0,male,187
2012,Шарканский,0,male,184
2012,Юкаменский,0,male,60
2012,Якшур-Бодьинский,0,male,208
2012,Ярский,0,male,106
2013,Всего по республике,0,male,11781
2013,Городские поселения,0,male,7092
2013,Сельская местность,0,male,4689
2013,г.Ижевск,0,male,4463
2013,Индустриальный район,0,male,842
2013,Ленинский район,0,male,974
2013,Октябрьский район,0,male,793
2013,Первомайский район,0,male,968
2013,Устиновский район,0,male,886
2013,г.Воткинск,0,male,673
2013,г.Глазов,0,male,612
2013,г.Можга,0,male,356
2013,г.Сарапул,0,male,802
2013,Алнашский,0,male,201
2013,Балезинский,0,male,271
2013,Вавожский,0,male,155
2013,Воткинский,0,male,222
2013,Глазовский,0,male,164
2013,Граховский,0,male,72
2013,Дебёсский,0,male,128
2013,Завьяловский,0,male,549
2013,Игринский,0,male,367
2013,Камбарский,0,male,165
2013,г.Камбарка,0,male,106
2013,сельская местность,0,male,59
2013,Каракулинский,0,male,102
2013,Кезский,0,male,187
2013,Кизнерский,0,male,160
2013,Киясовский,0,male,96
2013,Красногорский,0,male,77
2013,Малопургинский,0,male,308
2013,Можгинский,0,male,240
2013,Сарапульский,0,male,228
2013,Селтинский,0,male,111
2013,Сюмсинский,0,male,109
2013,Увинский,0,male,373
2013,Шарканский,0,male,186
2013,Юкаменский,0,male,83
2013,Якшур-Бодьинский,0,male,214
2013,Ярский,0,male,107
2014,Всего по республике,0,male,11212
2014,Городские поселения,0,male,6698
2014,Сельская местность,0,male,4514
2014,г.Ижевск,0,male,4463
2014,Индустриальный район,0,male,852
2014,Ленинский район,0,male,941
2014,Октябрьский район,0,male,774
2014,Первомайский район,0,male,947
2014,Устиновский район,0,male,949
2014,г.Воткинск,0,male,685
2014,г.Глазов,0,male,502
2014,г.Можга,0,male,346
2014,г.Сарапул,0,male,636
2014,Алнашский,0,male,218
2014,Балезинский,0,male,249
2014,Вавожский,0,male,122
2014,Воткинский,0,male,183
2014,Глазовский,0,male,128
2014,Граховский,0,male,86
2014,Дебёсский,0,male,115
2014,Завьяловский,0,male,564
2014,Игринский,0,male,325
2014,Камбарский,0,male,115
2014,г.Камбарка,0,male,66
2014,сельская местность,0,male,49
2014,Каракулинский,0,male,87
2014,Кезский,0,male,159
2014,Кизнерский,0,male,192
2014,Киясовский,0,male,70
2014,Красногорский,0,male,71
2014,Малопургинский,0,male,314
2014,Можгинский,0,male,242
2014,Сарапульский,0,male,199
2014,Селтинский,0,male,119
2014,Сюмсинский,0,male,125
2014,Увинский,0,male,352
2014,Шарканский,0,male,159
2014,Юкаменский,0,male,71
2014,Якшур-Бодьинский,0,male,215
2014,Ярский,0,male,100
2015,Всего по республике,0,male,11247
2015,Городские поселения,0,male,6770
2015,Сельская местность,0,male,4477
2015,г.Ижевск,0,male,4597
2015,Индустриальный район,0,male,881
2015,Ленинский район,0,male,1025
2015,Октябрьский район,0,male,807
2015,Первомайский район,0,male,965
2015,Устиновский район,0,male,919
2015,г.Воткинск,0,male,680
2015,г.Глазов,0,male,495
2015,г.Можга,0,male,340
2015,г.Сарапул,0,male,577
2015,Алнашский,0,male,183
2015,Балезинский,0,male,285
2015,Вавожский,0,male,148
2015,Воткинский,0,male,148
2015,Глазовский,0,male,121
2015,Граховский,0,male,67
2015,Дебёсский,0,male,102
2015,Завьяловский,0,male,588
2015,Игринский,0,male,333
2015,Камбарский,0,male,130
2015,г.Камбарка,0,male,81
2015,сельская местность,0,male,49
2015,Каракулинский,0,male,95
2015,Кезский,0,male,168
2015,Кизнерский,0,male,146
2015,Киясовский,0,male,74
2015,Красногорский,0,male,83
2015,Малопургинский,0,male,314
2015,Можгинский,0,male,211
2015,Сарапульский,0,male,203
2015,Селтинский,0,male,108
2015,Сюмсинский,0,male,123
